oracion_español,oracion_transformada_lse
El pintor decora las paredes en el piso los lunes.,LUNES PISO PINTOR PAREDES DECORAR
Carmen enseña matemáticas en el instituto desde hace años.,AÑOS HACE DESDE INSTITUTO CARMEN MATEMÁTICAS ENSEÑAR
Los músicos tocan en la plaza cada fin de semana.,FIN SEMANA CADA PLAZA MÚSICOS TOCAR
El electricista revisa la instalación en el edificio por la mañana.,MAÑANA EDIFICIO ELECTRICISTA INSTALACIÓN REVISAR
Mi sobrina dibuja en su cuaderno todas las tardes.,TARDES TODAS CUADERNO SU MI SOBRINA DIBUJAR
Los voluntarios ayudan en el comedor social cada jueves.,JUEVES CADA COMEDOR SOCIAL VOLUNTARIOS AYUDAR
El policía vigila la zona del centro todos los días.,DÍAS TODOS CENTRO ZONA POLICÍA VIGILAR
Ana practica yoga en el parque cada mañana.,MAÑANA CADA PARQUE ANA YOGA PRACTICAR
Los clientes esperan en la sala del banco por la mañana.,MAÑANA BANCO SALA CLIENTES ESPERAR
Mi abuelo lee novelas en la biblioteca cada tarde.,CADA TARDE BIBLIOTECA MI ABUELO NOVELAS LEER
El cocinero prepara tapas en el bar todas las noches.,TODAS NOCHES BAR COCINERO TAPAS PREPARAR
Los alumnos hacen ejercicios en el aula cada día.,CADA DÍA AULA ALUMNOS EJERCICIOS HACER
Laura lava la ropa en casa los sábados.,SÁBADOS CASA LAURA ROPA LAVAR
El vendedor atiende en la tienda desde las diez.,DESDE DIEZ TIENDA VENDEDOR ATENDER
Mi madre plancha la ropa en el cuarto cada domingo.,CADA DOMINGO CUARTO MI MADRE ROPA PLANCHAR
Los jugadores celebran la victoria en el estadio después del partido.,DESPUÉS PARTIDO ESTADIO JUGADORES VICTORIA CELEBRAR
El dentista revisa las muelas en la clínica por las mañanas.,POR MAÑANAS CLÍNICA DENTISTA MUELAS REVISAR
Carmen organiza fiestas en el salón todos los meses.,TODOS MESES SALÓN CARMEN FIESTAS ORGANIZAR
Los nietos visitan a sus abuelos en el pueblo cada verano.,CADA VERANO PUEBLO NIETOS ABUELOS VISITAR
El taxista recoge pasajeros en la estación todas las horas.,TODAS HORAS ESTACIÓN TAXISTA PASAJEROS RECOGER
Mi hermana hace la compra en el supermercado los viernes.,VIERNES SUPERMERCADO MI HERMANA COMPRA HACER
Los bailarines practican en la academia cada tarde.,CADA TARDE ACADEMIA BAILARINES PRACTICAR
El agricultor recoge tomates en el campo durante agosto.,DURANTE AGOSTO CAMPO AGRICULTOR TOMATES RECOGER
Ana prepara el desayuno en la cocina cada mañana.,CADA MAÑANA COCINA ANA DESAYUNO PREPARAR
Los guardias controlan el acceso en la entrada todo el día.,TODO DÍA ENTRADA GUARDIAS ACCESO CONTROLAR
Mi primo trabaja de camarero en el restaurante los fines de semana.,FINES SEMANA RESTAURANTE MI PRIMO CAMARERO TRABAJAR
El veterinario cura animales en la clínica todas las tardes.,TODAS TARDES CLÍNICA VETERINARIO ANIMALES CURAR
Los excursionistas caminan por la montaña cada domingo.,CADA DOMINGO MONTAÑA EXCURSIONISTAS CAMINAR
María limpia las ventanas en casa una vez al mes.,UNA VEZ MES CASA MARÍA VENTANAS LIMPIAR
El fontanero arregla tuberías en los pisos cada semana.,CADA SEMANA PISOS FONTANERO TUBERÍAS ARREGLAR
Los espectadores aplauden en el concierto después de cada canción.,DESPUÉS CADA CANCIÓN CONCIERTO ESPECTADORES APLAUDIR
Mi tía borda manteles en su casa todas las tardes.,TODAS TARDES CASA SU MI TÍA MANTELES BORDAR
El director dirige la película en el plató desde hace meses.,DESDE HACE MESES PLATÓ DIRECTOR PELÍCULA DIRIGIR
Los pescadores salen al mar desde el puerto cada madrugada.,CADA MADRUGADA PUERTO MAR PESCADORES SALIR
Carmen cuida niños en su casa por las tardes.,POR TARDES CASA SU CARMEN NIÑOS CUIDAR
El arquitecto diseña edificios en su estudio todos los días.,TODOS DÍAS ESTUDIO ARQUITECTO EDIFICIOS DISEÑAR
Los pasajeros suben al tren en el andén cada mañana.,CADA MAÑANA ANDÉN PASAJEROS TREN SUBIR
Mi padre arregla el coche en el garaje los domingos.,DOMINGOS GARAJE MI PADRE COCHE ARREGLAR
El monitor enseña natación en la piscina cada tarde.,CADA TARDE PISCINA MONITOR NATACIÓN ENSEÑAR
Los periodistas graban reportajes en la calle todas las semanas.,TODAS SEMANAS CALLE PERIODISTAS REPORTAJES GRABAR
Ana barre el suelo en la tienda cada noche.,CADA NOCHE TIENDA ANA SUELO BARRER
El guía explica la historia en el castillo todos los días.,TODOS DÍAS CASTILLO GUÍA HISTORIA EXPLICAR
Los empleados trabajan en la fábrica desde las siete.,DESDE SIETE FÁBRICA EMPLEADOS TRABAJAR
Mi hermano estudia guitarra en el conservatorio cada martes.,CADA MARTES CONSERVATORIO MI HERMANO GUITARRA ESTUDIAR
El albañil construye muros en la obra desde hace semanas.,DESDE HACE SEMANAS OBRA ALBAÑIL MUROS CONSTRUIR
Los turistas sacan fotos en la catedral cada día.,CADA DÍA CATEDRAL TURISTAS FOTOS SACAR
Carmen vende flores en el mercado todas las mañanas.,TODAS MAÑANAS MERCADO CARMEN FLORES VENDER
El químico hace experimentos en el laboratorio por las tardes.,POR TARDES LABORATORIO QUÍMICO EXPERIMENTOS HACER
Los clientes prueban ropa en las tiendas los sábados.,SÁBADOS TIENDAS CLIENTES ROPA PROBAR
Mi madre compra medicinas en la farmacia cuando es necesario.,CUANDO NECESARIO FARMACIA MI MADRE MEDICINAS COMPRAR
El traductor trabaja con textos en su despacho cada día.,CADA DÍA DESPACHO SU TRADUCTOR TEXTOS TRABAJAR
Los senderistas descansan en el refugio después de caminar.,DESPUÉS CAMINAR REFUGIO SENDERISTAS DESCANSAR
María aprende francés en la escuela dos veces por semana.,DOS VECES SEMANA ESCUELA MARÍA FRANCÉS APRENDER
El conductor carga mercancías en el camión cada mañana.,CADA MAÑANA CAMIÓN CONDUCTOR MERCANCÍAS CARGAR
Los espectadores ven la película en el cine los fines de semana.,FINES SEMANA CINE ESPECTADORES PELÍCULA VER
Mi vecino cultiva flores en su jardín cada primavera.,CADA PRIMAVERA JARDÍN SU MI VECINO FLORES CULTIVAR
El sastre cose trajes en su taller todas las semanas.,TODAS SEMANAS TALLER SU SASTRE TRAJES COSER
Los estudiantes presentan trabajos en el aula cada mes.,CADA MES AULA ESTUDIANTES TRABAJOS PRESENTAR
Ana pasea en bicicleta por el carril bici cada tarde.,CADA TARDE CARRIL BICI ANA BICICLETA PASEAR
El zapatero repara zapatos en su tienda desde las nueve.,DESDE NUEVE ZAPATERO ZAPATOS TIENDA REPARAR
Los corredores entrenan en la pista cada mañana.,CADA MAÑANA CORREDORES PISTA ENTRENAR
Mi tío viaja a Barcelona en tren todos los meses.,TODOS MESES TÍO MÍO TREN BARCELONA VIAJAR
Carmen practica piano en el aula de música cada día.,CADA DÍA CARMEN AULA MÚSICA PIANO PRACTICAR
El joyero fabrica anillos en su taller por las tardes.,POR TARDES JOYERO TALLER ANILLOS FABRICAR
Los manifestantes marchan por la avenida cada primero de mayo.,CADA PRIMERO MAYO MANIFESTANTES AVENIDA MARCHAR
Mi abuela reza en la iglesia todos los domingos.,TODOS DOMINGOS ABUELA MÍA IGLESIA REZAR
El psicólogo atiende pacientes en su consulta cada tarde.,CADA TARDE PSICÓLOGO CONSULTA PACIENTES ATENDER
Los turistas compran recuerdos en las tiendas del centro a diario.,A DIARIO TURISTAS TIENDAS CENTRO RECUERDOS COMPRAR
María toma café en la cafetería cada mañana.,CADA MAÑANA MARÍA CAFETERÍA CAFÉ TOMAR
El conserje abre el portal en el edificio a las siete.,A LAS SIETE CONSERJE EDIFICIO PORTAL ABRIR
Los clientes pagan en la caja del supermercado continuamente.,CONTINUAMENTE CLIENTES SUPERMERCADO CAJA PAGAR
Mi hermana escucha música en su cuarto todas las noches.,TODAS NOCHES HERMANA MÍA CUARTO MÚSICA ESCUCHAR
El portero guarda la puerta en el estadio durante los partidos.,DURANTE PARTIDOS PORTERO ESTADIO PUERTA GUARDAR
Los niños meriendan en el parque cada tarde.,CADA TARDE NIÑOS PARQUE MERENDAR
Carmen recoge setas en el bosque cada otoño.,CADA OTOÑO CARMEN BOSQUE SETAS RECOGER
El técnico instala antenas en los tejados todas las semanas.,TODAS SEMANAS TÉCNICO TEJADOS ANTENAS INSTALAR
Los jubilados charlan en el banco de la plaza cada mañana.,CADA MAÑANA JUBILADOS PLAZA BANCO CHARLAR
Mi primo juega al baloncesto en el polideportivo los martes.,MARTES PRIMO MÍO POLIDEPORTIVO BALONCESTO JUGAR
El librero ordena libros en la librería cada día.,CADA DÍA LIBRERO LIBRERÍA LIBROS ORDENAR
Los vecinos saludan en el portal todas las mañanas.,TODAS MAÑANAS VECINOS PORTAL SALUDAR
Ana riega las macetas en el balcón cada tarde.,CADA TARDE ANA BALCÓN MACETAS REGAR
El vigilante patrulla por el almacén durante la noche.,DURANTE NOCHE VIGILANTE ALMACÉN PATRULLAR
Los chicos skatan en la plaza los sábados.,SÁBADOS CHICOS PLAZA SKATAR
Mi madre cuelga la ropa en el tendedero cada mañana.,CADA MAÑANA MADRE MÍA TENDEDERO ROPA COLGAR
El repartidor deja paquetes en las casas todos los días.,TODOS DÍAS REPARTIDOR CASAS PAQUETES DEJAR
Los ancianos pasean por el paseo marítimo cada tarde.,CADA TARDE ANCIANOS PASEO MARÍTIMO PASEAR
Carmen escribe poemas en su diario cada noche.,CADA NOCHE CARMEN DIARIO POEMAS ESCRIBIR
El barrendero limpia las calles en el barrio cada madrugada.,CADA MADRUGADA BARRENDERO BARRIO CALLES LIMPIAR
Los compradores buscan ofertas en los centros comerciales los fines de semana.,FINES SEMANA COMPRADORES CENTROS COMERCIALES OFERTAS BUSCAR
Mi padre lee el periódico en el sofá cada mañana.,CADA MAÑANA PADRE MÍO SOFÁ PERIÓDICO LEER
El mozo carga cajas en el almacén desde las ocho.,DESDE OCHO MOZO ALMACÉN CAJAS CARGAR
Los nadadores nadan en el río durante el verano.,DURANTE VERANO NADADORES RÍO NADAR
María descansa en el banco del parque cada mediodía.,CADA MEDIODÍA MARÍA PARQUE BANCO DESCANSAR
El apicultor recoge miel en las colmenas cada primavera.,CADA PRIMAVERA APICULTOR COLMENAS MIEL RECOGER
Los moteros quedan en la gasolinera los domingos.,DOMINGOS MOTEROS GASOLINERA QUEDAR
Mi hermano duerme la siesta en el sofá cada tarde.,CADA TARDE HERMANO MÍO SOFÁ SIESTA DORMIR
El relojero repara relojes en su taller desde hace décadas.,DESDE DÉCADAS RELOJERO TALLER RELOJES REPARAR
Los artistas pintan murales en las paredes del barrio cada mes.,CADA MES ARTISTAS BARRIO PAREDES MURALES PINTAR
Carmen hace yoga en el gimnasio tres veces por semana.,TRES VECES SEMANA CARMEN GIMNASIO YOGA HACER
El ganadero ordena las vacas en la granja cada madrugada.,CADA MADRUGADA GANADERO GRANJA VACAS ORDEÑAR
Los peregrinos caminan por el camino durante el verano.,DURANTE VERANO PEREGRINOS CAMINO CAMINAR
Mi tía prepara mermelada en la cocina cada otoño.,CADA OTOÑO TÍA MÍA COCINA MERMELADA PREPARAR
El socorrista vigila en la playa durante todo el día.,TODO DÍA SOCORRISTA PLAYA VIGILAR
Los aficionados animan en las gradas cada partido.,CADA PARTIDO AFICIONADOS GRADAS ANIMAR
María planta flores en el jardín cada primavera.,CADA PRIMAVERA MARÍA JARDÍN FLORES PLANTAR
El encargado supervisa el trabajo en la tienda todas las mañanas.,TODAS MAÑANAS ENCARGADO TIENDA TRABAJO SUPERVISAR
Los escolares cruzan por el paso de cebra cada mañana.,CADA MAÑANA ESCOLARES PASO CEBRA CRUZAR
Mi abuelo pasea con su bastón por el parque cada tarde.,CADA TARDE ABUELO MÍO PARQUE BASTÓN PASEAR
El herrero forja herraduras en la fragua cada semana.,CADA SEMANA HERRERO FRAGUA HERRADURAS FORJAR
Los excursionistas acampan en el valle cada verano.,VERANO CADA VALLE EXCURSIONISTAS ACAMPAR
Carmen estudia historia en la biblioteca todas las tardes.,TARDES TODAS BIBLIOTECA CARMEN HISTORIA ESTUDIAR
El lechero entrega leche en las casas cada madrugada.,MADRUGADA CADA CASAS LECHERO LECHE ENTREGAR
Los clientes retiran dinero en el cajero a todas horas.,HORAS TODAS CAJERO CLIENTES DINERO RETIRAR
Mi madre borda cojines en el salón cada tarde.,TARDE CADA SALÓN MI MADRE COJINES BORDAR
El guarda forestal patrulla por el bosque todos los días.,DÍAS TODOS BOSQUE GUARDA FORESTAL PATRULLAR
Los ciclistas pedalean por la carretera cada domingo.,DOMINGO CADA CARRETERA CICLISTAS PEDALEAR
Ana compra el periódico en el quiosco cada mañana.,MAÑANA CADA QUIOSCO ANA PERIÓDICO COMPRAR
El sereno vigila las calles en el pueblo cada noche.,NOCHE CADA PUEBLO SERENO CALLES VIGILAR
Los aficionados coleccionan sellos en sus casas desde hace años.,PASADO AÑOS HACE DESDE CASAS AFICIONADOS SELLOS COLECCIONAR
Mi hermano entrena boxeo en el gimnasio tres veces por semana.,SEMANA POR VECES TRES GIMNASIO MI HERMANO BOXEO ENTRENAR
El bodeguero sirve vinos en la bodega durante las visitas.,VISITAS DURANTE BODEGA BODEGUERO VINOS SERVIR
Los fieles encienden velas en la capilla cada domingo.,DOMINGO CADA CAPILLA FIELES VELAS ENCENDER
Carmen cose cortinas en su taller los lunes.,LUNES TALLER SU CARMEN CORTINAS COSER
El guardabosques cuida el parque natural desde hace décadas.,PASADO DÉCADAS HACE DESDE PARQUE NATURAL GUARDABOSQUES CUIDAR
Los bañistas toman el sol en la playa cada verano.,VERANO CADA PLAYA BAÑISTAS SOL TOMAR
Mi tío fabrica cestas en su taller cada semana.,SEMANA CADA TALLER SU MI TÍO CESTAS FABRICAR
El pregonero anuncia las fiestas en la plaza cada año.,AÑO CADA PLAZA PREGONERO FIESTAS ANUNCIAR
Los invitados bailan en el salón durante las bodas.,BODAS DURANTE SALÓN INVITADOS BAILAR
María recoge fresas en el campo cada junio.,JUNIO CADA CAMPO MARÍA FRESAS RECOGER
El campanero toca las campanas en la torre cada hora.,HORA CADA TORRE CAMPANERO CAMPANAS TOCAR
Los operarios descargan camiones en el muelle todos los días.,DÍAS TODOS MUELLE OPERARIOS CAMIONES DESCARGAR
Mi prima hornea galletas en casa cada fin de semana.,FIN SEMANA CADA CASA MI PRIMA GALLETAS HORNEAR
El quiosquero vende revistas en la parada desde las siete.,PASADO SIETE DESDE PARADA QUIOSQUERO REVISTAS VENDER
Los patinadores practican en la pista cada tarde.,TARDE CADA PISTA PATINADORES PRACTICAR
Carmen bebe té en la terraza cada mañana.,MAÑANA CADA TERRAZA CARMEN TÉ BEBER
El minero trabaja en la mina desde hace años.,PASADO AÑOS HACE DESDE MINA MINERO TRABAJAR
Los feriantes montan atracciones en la plaza durante las fiestas.,FIESTAS DURANTE PLAZA FERIANTES ATRACCIONES MONTAR
Mi sobrino construye castillos en la arena cada verano.,VERANO CADA ARENA MI SOBRINO CASTILLOS CONSTRUIR
El cochero conduce el carruaje por el parque los domingos.,DOMINGOS PARQUE COCHERO CARRUAJE CONDUCIR
Los esquiadores bajan por las pistas cada invierno.,INVIERNO CADA PISTAS ESQUIADORES BAJAR
Ana escribe cartas en su escritorio cada semana.,SEMANA CADA ESCRITORIO SU ANA CARTAS ESCRIBIR
El sereno cierra los portales en el barrio cada noche.,NOCHE CADA BARRIO SERENO PORTALES CERRAR
Los comensales degustan el menú en el restaurante cada mediodía.,MEDIODÍA CADA RESTAURANTE COMENSALES MENÚ DEGUSTAR
Mi abuela hace ganchillo en su mecedora todas las tardes.,TARDES TODAS MECEDORA SU MI ABUELA GANCHILLO HACER
El guarda jurado protege el edificio durante la noche.,NOCHE DURANTE EDIFICIO GUARDA JURADO PROTEGER
Los montañeros escalan picos en los Pirineos cada verano.,VERANO CADA PIRINEOS MONTAÑEROS PICOS ESCALAR
Carmen atiende el teléfono en la oficina todo el día.,DÍA TODO OFICINA CARMEN TELÉFONO ATENDER
El pocero limpia pozos en los pueblos cuando le llaman.,CUANDO LLAMAR PUEBLOS POCERO POZOS LIMPIAR
Los veraneantes pasean por el pueblo cada agosto.,AGOSTO CADA PUEBLO VERANEANTES PASEAR
Mi padre poda los árboles en el huerto cada invierno.,INVIERNO CADA HUERTO MI PADRE ÁRBOLES PODAR
El pregonero anuncia las noticias en la plaza cada mañana.,MAÑANA CADA PLAZA PREGONERO NOTICIAS ANUNCIAR
Los comisionistas venden productos en las ferias cada mes.,MES CADA FERIAS COMISIONISTAS PRODUCTOS VENDER
María toca el violín en la orquesta cada jueves.,JUEVES CADA ORQUESTA MARÍA VIOLÍN TOCAR
El mayoral cuida el rebaño en el campo todos los días.,DÍAS TODOS CAMPO MAYORAL REBAÑO CUIDAR
Los clientes reservan mesa en el restaurante los fines de semana.,FINES SEMANA RESTAURANTE CLIENTES MESA RESERVAR
Mi hermana aprende cerámica en el taller cada martes.,MARTES CADA TALLER MI HERMANA CERÁMICA APRENDER
El molinero muele el grano en el molino desde hace siglos.,PASADO SIGLOS HACE DESDE MOLINO MOLINERO GRANO MOLER
Los cazadores salen al campo cada temporada de caza.,TEMPORADA CAZA CADA CAMPO CAZADORES SALIR
Carmen archiva documentos en la oficina cada tarde.,TARDE CADA OFICINA CARMEN DOCUMENTOS ARCHIVAR
El farolero enciende las farolas en las calles cada anochecer.,CADA ANOCHECER CALLES FAROLERO FAROLAS ENCENDER
Los surfistas cabalgan las olas en la costa cada verano.,CADA VERANO COSTA SURFISTAS OLAS CABALGAR
Mi madre decora tartas en la pastelería los sábados.,SÁBADOS PASTELERÍA MI MADRE TARTAS DECORAR
El vigilante ronda el recinto en el polígono cada noche.,CADA NOCHE POLÍGONO RECINTO VIGILANTE RONDAR
Los escolares recitan poemas en el aula cada viernes.,CADA VIERNES AULA ESCOLARES POEMAS RECITAR
Ana compra flores en el mercado cada semana.,CADA SEMANA MERCADO ANA FLORES COMPRAR
El titiritero hace funciones en la plaza durante las fiestas.,FIESTAS PLAZA TITIRITERO FUNCIONES HACER
Los artesanos venden sus productos en el mercadillo cada domingo.,CADA DOMINGO MERCADILLO ARTESANOS PRODUCTOS VENDER
Mi tío afina pianos en las casas cuando le contratan.,CUANDO CONTRATAR CASAS MI TÍO PIANOS AFINAR
El sepulturero cuida el cementerio todos los días.,TODOS DÍAS CEMENTERIO SEPULTURERO CUIDAR
Los golfistas juegan en el campo cada fin de semana.,CADA FIN SEMANA CAMPO GOLFISTAS JUGAR
Carmen ordena archivos en el despacho cada mañana.,CADA MAÑANA DESPACHO CARMEN ARCHIVOS ORDENAR
El tonelero fabrica barriles en su taller desde hace años.,AÑOS TALLER TONELERO BARRILES FABRICAR
Los domingueros merendan en el campo cada domingo.,CADA DOMINGO CAMPO DOMINGUEROS MERENDAR
Mi hermano monta a caballo en el picadero los sábados.,SÁBADOS PICADERO MI HERMANO CABALLO MONTAR
El gondolero pasea turistas por los canales cada día.,CADA DÍA CANALES GONDOLERO TURISTAS PASEAR
Los buceadores exploran el fondo en el mar cada verano.,CADA VERANO MAR FONDO BUCEADORES EXPLORAR
María teje alfombras en su casa todas las tardes.,TODAS TARDES CASA MARÍA ALFOMBRAS TEJER
El aguador vendía agua por las calles en tiempos pasados.,PASADO CALLES AGUADOR AGUA VENDER
Los romeros peregrinan al santuario cada primavera.,CADA PRIMAVERA SANTUARIO ROMEROS PEREGRINAR
Mi prima estudia ballet en la academia tres veces por semana.,TRES VECES SEMANA ACADEMIA MI PRIMA BALLET ESTUDIAR
El tejedor trabaja el telar en su taller cada día.,CADA DÍA TALLER TEJEDOR TELAR TRABAJAR
Los madrugadores corren por el parque cada amanecer.,CADA AMANECER PARQUE MADRUGADORES CORRER
Carmen friega los platos en la cocina después de cenar.,DESPUÉS CENAR COCINA CARMEN PLATOS FREGAR
El campanero repica las campanas en la iglesia cada festividad.,CADA FESTIVIDAD IGLESIA CAMPANERO CAMPANAS REPICAR
Los catadores prueban vinos en la bodega durante las catas.,CATAS BODEGA CATADORES VINOS PROBAR
Mi abuelo juega al dominó en el centro social cada tarde.,CADA TARDE CENTRO SOCIAL MI ABUELO DOMINÓ JUGAR
El tamborilero toca en las procesiones durante Semana Santa.,SEMANA SANTA PROCESIONES TAMBORILERO TOCAR
Los navegantes surcan el océano durante sus travesías.,TRAVESÍAS OCÉANO NAVEGANTES SURCAR
Ana decora escaparates en las tiendas cada temporada.,CADA TEMPORADA TIENDAS ANA ESCAPARATES DECORAR
El chocolatero elabora bombones en su obrador cada día.,CADA DÍA OBRADOR CHOCOLATERO BOMBONES ELABORAR
Los radioaficionados hablan por radio en sus casas cada noche.,CADA NOCHE CASAS RADIOAFICIONADOS RADIO HABLAR
Mi madre tiende la cama en mi cuarto cada mañana.,CADA MAÑANA MI CUARTO MI MADRE CAMA TENDER
El pregonero vocea las ofertas en el mercado todos los días.,TODOS DÍAS MERCADO PREGONERO OFERTAS VOCEAR
Los acróbatas entrenan en el circo cada tarde.,CADA TARDE CIRCO ACRÓBATAS ENTRENAR
Carmen transcribe documentos en la notaría cada día.,CADA DÍA NOTARÍA CARMEN DOCUMENTOS TRANSCRIBIR
El hortelano cultiva verduras en la huerta desde hace décadas.,DÉCADAS HUERTA HORTELANO VERDURAS CULTIVAR
Los malabaristas practican en el parque cada fin de semana.,CADA FIN SEMANA PARQUE MALABARISTAS PRACTICAR
Mi tío repara electrodomésticos en su taller cuando se estropean.,CUANDO ESTROPEAR TALLER MI TÍO ELECTRODOMÉSTICOS REPARAR
El gondolero canta canciones en la góndola durante los paseos.,PASEOS GÓNDOLA GONDOLERO CANCIONES CANTAR
Los setas crecen en el bosque cada otoño.,CADA OTOÑO BOSQUE SETAS CRECER
María compra el pan en el horno cada mañana.,CADA MAÑANA HORNO MARÍA PAN COMPRAR
El deshollinador limpia chimeneas en las casas durante el invierno.,INVIERNO CASAS DESHOLLINADOR CHIMENEAS LIMPIAR
Los mercaderes venden telas en el zoco cada día.,CADA DÍA ZOCO MERCADERES TELAS VENDER
Mi hermana pinta acuarelas en su estudio cada tarde.,CADA TARDE ESTUDIO MI HERMANA ACUARELAS PINTAR
El heraldo proclama los bandos en la plaza cada festividad.,CADA FESTIVIDAD PLAZA HERALDO BANDOS PROCLAMAR
Los ebanistas tallan muebles en sus talleres todas las semanas.,TODAS SEMANAS TALLERES EBANISTAS MUEBLES TALLAR
Carmen clasifica correspondencia en correos cada mañana.,CADA MAÑANA CORREOS CARMEN CORRESPONDENCIA CLASIFICAR
El aguador acarreaba agua en el pueblo hace años.,AÑOS PUEBLO AGUADOR AGUA ACARREAR
Los mendigos piden limosna en la puerta de la iglesia a diario.,DIARIO IGLESIA PUERTA MENDIGOS LIMOSNA PEDIR
Mi padre fumiga el jardín en casa cada primavera.,CASA CADA PRIMAVERA MI PADRE JARDÍN FUMIGAR
El organista toca en la catedral durante las misas.,CATEDRAL MISAS ORGANISTA TOCAR
Los trapecistas vuelan bajo la carpa cada noche.,CARPA CADA NOCHE TRAPECISTAS VOLAR
Ana transcribe reuniones en la empresa cada semana.,EMPRESA CADA SEMANA ANA REUNIONES TRANSCRIBIR
El destilador fabrica licores en la destilería desde hace años.,DESTILERÍA AÑOS DESTILADOR LICORES FABRICAR
Los trileros engañan turistas en las plazas cada día.,PLAZAS CADA DÍA TRILEROS TURISTAS ENGAÑAR
Mi primo juega al ajedrez en el club cada jueves.,CLUB CADA JUEVES MI PRIMO AJEDREZ JUGAR
